Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/contract_001.sol,-,-,-,-,-,-,-,-,-
contracts/contract_002.sol,-,Osiris,Mythril,Mythril,-,-,-,"Mythril, Slither",-
contracts/contract_003.sol,-,-,-,-,-,-,-,-,Slither
contracts/contract_004.sol,-,-,-,-,-,-,-,Slither,-
contracts/contract_005.sol,Slither,Osiris,-,-,-,-,-,-,-
contracts/contract_006.sol,"Mythril, Slither",Oyente,-,Mythril,-,-,-,"Mythril, Slither",-
contracts/contract_007.sol,-,Oyente,Mythril,Mythril,-,-,-,-,-
contracts/contract_008.sol,-,-,-,-,-,-,-,"Mythril, Oyente, Slither",Oyente
contracts/contract_009.sol,"Mythril, Slither",-,-,-,-,-,-,Mythril,-
contracts/contract_010.sol,"Mythril, Slither",-,Mythril,Mythril,-,-,-,-,-
contracts/contract_011.sol,-,Oyente,Mythril,Mythril,-,-,-,-,-
contracts/contract_012.sol,-,-,Mythril,-,-,-,-,-,-
contracts/contract_013.sol,Slither,Osiris,-,-,-,-,-,-,-
contracts/contract_014.sol,"Mythril, Slither",Oyente,-,Mythril,-,-,-,-,-
contracts/contract_015.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_016.sol,-,Oyente,-,-,-,-,-,-,-
contracts/contract_017.sol,-,Osiris,-,-,-,-,-,-,-
contracts/contract_018.sol,"Mythril, Slither",-,-,-,-,-,-,Mythril,-
contracts/contract_019.sol,"Mythril, Osiris, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_020.sol,Slither,Mythril,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_021.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_022.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_023.sol,Slither,-,Mythril,-,-,-,-,-,-
contracts/contract_024.sol,"Mythril, Slither",-,-,-,-,-,-,-,-
contracts/contract_025.sol,Slither,-,-,Mythril,-,-,Slither,"Mythril, Slither",-
contracts/contract_027.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,Mythril,-
contracts/contract_028.sol,Slither,"Osiris, Oyente",-,-,-,-,Slither,-,-
contracts/contract_030.sol,-,"Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Slither",-
contracts/contract_031.sol,Slither,-,-,-,-,-,-,-,Slither
contracts/contract_032.sol,"Mythril, Osiris, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_033.sol,-,-,-,-,-,-,-,Mythril,-
contracts/contract_034.sol,"Mythril, Osiris, Slither","Mythril, Osiris",Mythril,Mythril,-,-,Slither,-,-
contracts/contract_035.sol,Slither,Osiris,Mythril,Mythril,-,-,-,-,-
contracts/contract_036.sol,"Mythril, Slither","Osiris, Oyente",Mythril,-,-,-,Slither,"Mythril, Slither",-
contracts/contract_037.sol,"Mythril, Slither","Mythril, Osiris",-,Mythril,-,-,-,"Mythril, Oyente",-
contracts/contract_038.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/contract_039.sol,"Osiris, Slither","Osiris, Oyente",Mythril,Mythril,-,-,Slither,-,-
contracts/contract_040.sol,"Mythril, Slither",Osiris,Mythril,-,-,-,-,-,-
contracts/contract_041.sol,-,"Osiris, Oyente",Mythril,Mythril,-,-,Slither,-,-
contracts/contract_042.sol,"Mythril, Slither","Osiris, Oyente",-,-,-,-,-,Mythril,Slither
contracts/contract_043.sol,Slither,"Osiris, Oyente",Mythril,-,-,-,-,"Mythril, Slither",-
contracts/contract_044.sol,"Mythril, Slither",Osiris,Mythril,-,-,-,-,-,-
contracts/contract_045.sol,-,-,-,-,-,-,Slither,-,-
contracts/contract_046.sol,"Mythril, Slither",-,-,-,-,-,-,Mythril,-
contracts/contract_047.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/contract_048.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_049.sol,Mythril,Oyente,-,-,-,-,-,-,-
contracts/contract_050.sol,"Mythril, Slither",-,Mythril,Mythril,-,-,-,-,-
contracts/contract_051.sol,Slither,-,-,-,-,-,Slither,"Mythril, Slither",-
contracts/contract_052.sol,-,-,Mythril,-,-,-,Slither,-,-
contracts/contract_053.sol,Slither,-,-,-,-,-,-,-,-
contracts/contract_054.sol,"Mythril, Slither","Mythril, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/contract_055.sol,-,-,-,-,-,-,-,-,Slither
contracts/contract_056.sol,-,Oyente,-,-,-,-,-,-,-
contracts/contract_057.sol,-,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_058.sol,-,Oyente,-,Mythril,-,-,-,-,-
contracts/contract_059.sol,-,"Osiris, Oyente",-,-,-,-,-,Slither,-
contracts/contract_060.sol,"Mythril, Slither","Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/contract_061.sol,-,-,-,-,-,-,-,-,-
contracts/contract_062.sol,Slither,Oyente,-,-,-,-,Slither,"Mythril, Slither",-
contracts/contract_063.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_064.sol,-,-,-,-,-,Mythril,-,-,-
contracts/contract_065.sol,Osiris,-,-,-,-,-,-,-,Slither
contracts/contract_066.sol,Slither,Oyente,Mythril,-,-,-,-,"Mythril, Slither",-
contracts/contract_067.sol,"Mythril, Osiris, Slither","Mythril, Osiris",Mythril,Mythril,-,-,Slither,-,-
contracts/contract_068.sol,"Mythril, Slither","Osiris, Oyente",Mythril,Mythril,-,-,-,Slither,-
contracts/contract_069.sol,"Mythril, Slither","Mythril, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/contract_070.sol,Slither,"Osiris, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/contract_071.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/contract_072.sol,"Mythril, Osiris, Slither",Oyente,-,-,-,-,-,Mythril,-
contracts/contract_073.sol,Mythril,"Osiris, Oyente",-,-,-,-,Mythril,-,Slither
contracts/contract_074.sol,Slither,Oyente,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_075.sol,-,Osiris,-,Mythril,-,-,-,"Mythril, Slither",-
